['isotopologue.name', 'exomol_ID', 'wavenumber', 'K_mu', 'upper.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega', 'lower.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega']
['27Al16O', '2420 - 2219', 50.034837, -17.872547481269027, 8714.384253, 14.0, 6.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5, 8664.349416, 12.0, 5.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5]
['27Al16O', '3420 - 3219', 50.129417, -23.965768442907418, 8737.902257, 18.0, 8.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5, 8687.772841, 18.0, 8.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '5834 - 5633', 50.291191, 30.18739405077993, 12119.610243, 30.0, 14.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5, 12069.319052, 30.0, 14.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '6034 - 5833', 50.373028, 25.55772505873631, 12135.356132, 32.0, 15.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 12084.983104, 30.0, 14.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '7630 - 7429', 50.426249, 43.65940445025069, 11420.912601, 40.0, 19.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11370.486351, 38.0, 18.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '7630 - 7829', 50.502718, 43.66953081614325, 11420.912601, 40.0, 19.5, '+', 'f', 'A2PI', 0, 1, 0.5, 1.5, 11370.409883, 40.0, 19.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '1434 - 1633', 50.576272, 36.873813079777044, 12014.362942, 8.0, 3.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5, 11963.78667, 10.0, 4.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '1434 - 1233', 50.657266, 36.50572062061133, 12014.362942, 8.0, 3.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5, 11963.705676, 8.0, 3.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '4630 - 4429', 50.73319, 44.277917473747806, 11294.528504, 24.0, 11.5, '-', 'e', 'A2PI', 0, -1, -0.5, -1.5, 11243.795314, 24.0, 11.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '4630 - 4829', 50.799513, 44.16302179904838, 11294.528504, 24.0, 11.5, '-', 'e', 'A2PI', 0, -1, -0.5, -1.5, 11243.728991, 26.0, 12.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
